No.,Anatomical Region,Character,,A_afarensis,P_aethiopicus,A_africanus,P_robustus,P_boisei
32,Cranial,Relative depth of mandibular fossa,,Shallow,Shallow,Intermediate,Intermediate,Deep
33,Cranial,Postglenoid process size and position,,Large and anterior,Intermediate,Intermediate,Small and fused tympanic,Small and fused tympanic
34,Cranial,Configuration of tympanic,,Tubular (or weak crest),Crest with vertical plate ,Crest with vertical plate,Crest with vertical plate,Crest with inclined plate
35,Cranial,Medio-lateral position of external auditory meatus,,Medial,Medial,Medial,Lateral,Lateral
36,Postcranial,Vaginal process,,Small or absent,Small or absent,Small or absent,Moderate to large,Moderate to large
37,Postcranial,Eustacian process of tympanic,,Absent or slight,Absent or slight,Present and prominent,Present and prominent,Absent or slight
38,Cranial,Petrous orientation,,Intermediate,Coronal,Intermediate,Coronal,Coronal
39,Cranial,Heart shaped foramen magnum,,Absent,Present,Absent,Absent,Present
40,Cranial,Inclination nuchal plane,,Intermediate,Weakly inclined,Weakly inclined,Weakly inclined,Weakly inclined
41,Cranial,Position of foramen magnum relative to bi-tympanic line,,At bi-tympanic line,At bi-tympanic line,At bi-tympanic line,Well anterior,Well anterior
42,Cranial,Inclination of foramen magnum,,NA,NA,Strongly inclined,Roughly horizontal,Roughly horizontal
43,Cranial,Origin of digastric muscle,,"Broad, shallow fossa",NA,"Broad, shallow fossa","Deep, narrow notch ","Broad, shallow fossa"
44,Dental,Mandibular cross-sectional area at M1,,Small,Large,Small,Large,Large
45,Dental,Orientation of mandibular symphysis,,Intermediate,Vertical,Intermediate,Vertical,Vertical
46,Dental,Direction of mental foramen opening,,Variable,Lateral,Variable,Lateral,Lateral
47,Dental,Hollowing above and behind mental foramen,,Present,Absent,Variable,Absent,Absent
48,Dental,Width of mandibular extramolar sulcus,,Narrow,Wide,Variable,Wide,Wide
49,Dental,Mandibular deciduous canine shape,,"Apex, central",NA,"Apex, central","Apex mesial, mesial","Apex mesial, mesial"
50,Dental,Incisal reduction,,Moderate,Moderate,Moderate,Yes,Yes
51,Dental,Canines reduced,,Somewhat,Very,Somewhat,Very,Very
52,Dental,Prominence of median lingual ridge,,Prominent,NA,Variable,Weakly,Weakly
53,Dental,Premolar crown area,,1,3,2,2,3
54,Dental,Molar crown area,,1,Largest,2,2,Largest
55,Dental,dM1 mesial crown profile,,"MMR slight, protoconid anterior, fovea open","MMR Thick, protoconid even with metaconid, fovea closed","MMR slight, protoconid anterior, fovea open","MMR Thick, protoconid even with metaconid, fovea closed","MMR Thick, protoconid even with metaconid, fovea closed"
56,Dental,Distal marginal ridge of dM2,,Low,NA,Low,High,High
57,Dental,Separation of molar and premolar cusp apices,,Wide,Narrow,Intermediate,Narrow,Narrow
58,Dental,Frequency of well developed P3,,Infrequent,Frequent,Frequent,Frequent,Frequent
59,Dental,Relative enamel thickness,,Thick,Hyperthick,Thick,Hyperthick,Hyperthick
60,Dental,Dental development rate,,Delayed,NA,Delayed,Accelerated,Accelerated
